"Place","Region","Confirmed","Deaths","Recovered","Active","Last Update"
"Virginia","United States","298","9","0","289","2020-03-25 01:00:00 * CTY: Fairfax 46; James City 37; Arlington 36; Prince William 23; Loudoun 18; Virginia Beach 17; Henrico 14; Richmond City 11; Chesterfield 10; Alexandria 8; York 6; Stafford 6; Charlottesville 5; Norfolk 5; Williamsburg 5; Rockingham 3; Newport News 3; Bedford 3; Goochland 3; Portsmouth City 3; Mecklenburg 2; Albemarle 2; Culpeper 2; Spotsylvania 2; Lee 2; Louisa 2; Accomack 2; Gloucester 2; Prince Edward 2; Isle of Wight 2; Rockbridge 2; Halifax 1; Chesapeake 1; Suffolk 1; Botetourt 1; Madison 1; Orange 1; Nelson 1; Charles City 1; Harrisonburg 1; Hanover 1; Danville 1; Amherst 1; Franklin 1; Fluvanna 1"
"Missouri","United States","286","8","0","278","2020-03-25 01:00:00 * CTY: St. Louis 100; St. Louis City 37; Jackson 34; Boone 20; Greene 19; Clay 12; St. Charles 11; unknown 8; Cass 6; Cole 5; Pulaski 4; Jefferson 4; Platte 3; Perry 2; Adair 2; St. Francois 2; Callaway 2; Randolph 1; Moniteau 1; Taney 1; Jasper 1; Bates 1; Dunklin 1; Franklin 1; Camden 1; Scott 1; Johnson 1; Pemiscot 1; Christian 1; Clinton 1; Henry 1; Lafayette 1"
"Nevada","United States","278","4","0","274","2020-03-25 01:00:00 * CTY: Clark 212; Washoe 44; unknown 15; Douglas 2; Elko  2; Carson City 2; Nye 1"
"Colombia","Colombia","277","3","5","269","2020-03-24 02:00:00 * States Bogotá D.C. 114 Cundinamarca 11 Antioquia 40 Valle del Cauca 31 Bolívar 16 Atlántico 7 Magdalena 2 Cesar 1 Norte de Santander 8 Santander 3 Cauca 2 Caldas 6 Risaralda 13 Quindío 6 Huila 10 Tolima 4 Meta 1 Casanare 1 San Andrés y Providencia 1. Source: @HeidyBello"
"Algeria","Algeria","264","19","24","221","2020-03-24 20:00:00"
"Minnesota","United States","262","1","0","261","2020-03-25 01:00:00 * CTY: Hennepin 103; Ramsey 26; Dakota 21; Olmsted 18; Washington 10; Carver 8; Martin 8; Anoka 7; Mower 6; Scott 5; Blue earth 5; Le Sueur 5; Stearns 5; Steele 5; Filmore 3; Wright 3; Clay 3; Nicollet 3; Dodge 3; Chisago 2; St. Louis 2; Rice 2; Big Stone 1; Lac Qui Parle 1; Cass 1; Wabasha 1; Renville 1; Sherburne 1; Benton 1; Waseca 1; Jackson 1"
"Guangxi","Mainland China","254","2","295","-43","2020-03-22 18:00:00"
"Shaanxi","Mainland China","249","3","240","6","2020-03-24 03:00:00"
"Armenia","Armenia","249","0","14","235","2020-03-25 00:00:00"
"United Arab Emirates","United Arab Emirates","248","2","45","201","2020-03-24 18:00:00"
